班号	课程类别	有效评估数	评估分数	教师职称	开课学院	学年	学期	平均成绩	教师编号
1	思想政治理论课	24	83.67	副教授	国际关系学院	2009-2010	春季学期	77.6	1
2	思想政治理论课	25	91.52	副教授	国际关系学院	2009-2010	春季学期	87.48	2
3	思想政治理论课	16	93.56	副教授	国际关系学院	2009-2010	春季学期	82.888888	3
4	思想政治理论课	15	84.6	教授	国际关系学院	2009-2010	春季学期	81.204545	4
5	思想政治理论课	19	91.37	讲师	国际关系学院	2009-2010	春季学期	76.764705	5
6	思想政治理论课	55	88.09	讲师	国际关系学院	2009-2010	春季学期	79.697916	6
7	思想政治理论课	24	92.08	副教授	国际关系学院	2009-2010	春季学期	66.735849	7
8	应用基础	20	80.9	副教授	农业与农村发展学院	2009-2010	春季学期	76.354838	8
9	应用基础	20	84.75	副教授	农业与农村发展学院	2009-2010	春季学期	79.964285	8
10	应用基础	34	91.29	副教授	外国语学院	2009-2010	春季学期	71.833333	9
11	思想政治理论课	24	83.67	副教授	国际关系学院	2009-2010	春季学期	77.6	1
12	思想政治理论课	25	91.52	副教授	国际关系学院	2009-2010	春季学期	87.48	2
13	思想政治理论课	16	93.56	副教授	国际关系学院	2009-2010	春季学期	82.888888	3
14	思想政治理论课	15	84.6	教授	国际关系学院	2009-2010	春季学期	81.204545	4
15	思想政治理论课	19	91.37	讲师	国际关系学院	2009-2010	春季学期	76.764705	5
16	思想政治理论课	55	88.09	讲师	国际关系学院	2009-2010	春季学期	79.697916	6
17	思想政治理论课	24	92.08	副教授	国际关系学院	2009-2010	春季学期	66.735849	7
18	应用基础	20	80.9	副教授	农业与农村发展学院	2009-2010	春季学期	76.354838	8
19	应用基础	20	84.75	副教授	农业与农村发展学院	2009-2010	春季学期	79.964285	8
20	应用基础	34	91.29	副教授	外国语学院	2009-2010	春季学期	71.833333	9
21	思想政治理论课	24	83.67	副教授	国际关系学院	2009-2010	春季学期	77.6	1
22	思想政治理论课	25	91.52	副教授	国际关系学院	2009-2010	春季学期	87.48	2
23	思想政治理论课	16	93.56	副教授	国际关系学院	2009-2010	春季学期	82.888888	3
24	思想政治理论课	15	84.6	教授	国际关系学院	2009-2010	春季学期	81.204545	4
25	思想政治理论课	19	91.37	讲师	国际关系学院	2009-2010	春季学期	76.764705	5
26	思想政治理论课	55	88.09	讲师	国际关系学院	2009-2010	春季学期	79.697916	6
27	思想政治理论课	24	92.08	副教授	国际关系学院	2009-2010	春季学期	66.735849	7
28	应用基础	20	80.9	副教授	农业与农村发展学院	2009-2010	春季学期	76.354838	8
29	应用基础	20	84.75	副教授	农业与农村发展学院	2009-2010	春季学期	79.964285	8
30	应用基础	34	91.29	副教授	外国语学院	2009-2010	春季学期	71.833333	9
31	应用基础	19	90.21	副教授	外国语学院	2009-2010	春季学期	77.918918	9
32	专业选修	19	93.95	教授	国学院	2009-2010	春季学期	84.685714	10
33	专业选修	34	93.91	副教授	经济学院	2009-2010	春季学期	86.528301	11
34	专业选修	27	94.85	副教授	经济学院	2009-2010	春季学期	84.787234	11
35	专业必修	5	94.8	副教授	财政金融学院	2009-2010	春季学期	81.538461	12
36	学科基础	26	92.92	副教授	财政金融学院	2009-2010	春季学期	83.40625	13
37	学科基础	15	91.73	副教授	财政金融学院	2009-2010	春季学期	85	14
38	专业选修	12	94	教授	农业与农村发展学院	2009-2010	春季学期	84.8	15
39	专业选修	11	91.64	教授	商学院	2009-2010	春季学期	84.844444	16
40	学科基础	17	89.82	讲师	商学院	2009-2010	春季学期	69.910714	17
41	学科基础	27	91.22	副教授	商学院	2009-2010	春季学期	79.557377	18
42	学科基础	23	81.96	讲师	商学院	2009-2010	春季学期	78.721311	19
43	学科基础	24	93.33	副教授	商学院	2009-2010	春季学期	79.393442	20
44	学科基础	31	91.29	副教授	商学院	2009-2010	春季学期	80.606557	21
45	学科基础	20	90.95	讲师	商学院	2009-2010	春季学期	69.983333	22
46	学科基础	30	93.13	副教授	商学院	2009-2010	春季学期	77.016393	23
47	专业必修	17	89.41	教授	商学院	2009-2010	春季学期	78.347826	24
48	专业必修	18	92.06	教授	商学院	2009-2010	春季学期	74.074074	25
49	专业必修	20	93.1	教授	商学院	2009-2010	春季学期	78.982758	26
50	专业必修	15	93.27	教授	商学院	2009-2010	春季学期	78.897959	27
51	学科基础	68	91.91	讲师	财政金融学院	2009-2010	春季学期	80.314516	28
52	学科基础	7	92.43	副教授	财政金融学院	2009-2010	春季学期	79	29
53	专业选修	18	89.28	副教授	商学院	2009-2010	春季学期	84.756756	30
54	专业选修	31	90.87	副教授	经济学院	2009-2010	春季学期	80.673913	31
55	专业选修	27	92.22	副教授	经济学院	2009-2010	春季学期	83.106382	31
56	专业选修	13	93.23	讲师	商学院	2009-2010	春季学期	#N/A	32
57	专业选修	16	92.31	副教授	公共管理学院	2009-2010	春季学期	89.5625	33
58	学科基础	37	90.68	副教授	信息学院	2009-2010	春季学期	71.716666	34
59	学科基础	22	85.5	讲师	信息学院	2009-2010	春季学期	75.74	35
60	学科基础	32	85.91	副教授	信息学院	2009-2010	春季学期	#N/A	36
61	全校选修	18	92.17	副教授	商学院	2009-2010	春季学期	#N/A	37
62	全校选修	9	90.33	副教授	商学院	2009-2010	春季学期	68.962962	38
63	全校选修	37	79.97	副教授	国际关系学院	2009-2010	春季学期	#N/A	39
64	学科基础	54	87.96	讲师	物理学系	2009-2010	春季学期	75.663157	40
65	学科基础	58	84.33	讲师	物理学系	2009-2010	春季学期	#N/A	41
66	专业选修	32	90.78	教授	经济学院	2009-2010	春季学期	76.842105	42
67	专业选修	5	91	教授	经济学院	2009-2010	春季学期	76.842105	43
68	专业选修	10	93.3	副教授	马克思主义学院	2009-2010	春季学期	#N/A	44
69	专业必修	35	93.6	教授	经济学院	2009-2010	春季学期	#N/A	45
70	专业必修	11	94.18	教授	经济学院	2009-2010	春季学期	#N/A	46
71	学科基础	37	91.78	教授	国际关系学院	2009-2010	春季学期	#N/A	47
72	学科基础	23	88.13		国际关系学院	2009-2010	春季学期	#N/A	48
73	专业必修	18	92.28	副教授	信息资源管理学院	2009-2010	春季学期	88	49
74	专业必修	19	90.84	教授	信息资源管理学院	2009-2010	春季学期	88.423076	50
75	专业必修	18	93.56	副教授	信息资源管理学院	2009-2010	春季学期	77.964285	51
76	专业必修	39	93.95	教授	国际关系学院	2009-2010	春季学期	83.083333	52
77	专业必修	36	91.94	教授	统计学院	2009-2010	春季学期	83.463768	53
78	专业选修	12	88.33	副教授	国际关系学院	2009-2010	春季学期	73.34375	54
79	专业必修	67	92.51	副教授	经济学院	2009-2010	春季学期	81.842105	55
80	学科基础	3	93.33	教授	农业与农村发展学院	2009-2010	春季学期	81.257142	56
81	学科基础	25	92.56	副教授	农业与农村发展学院	2009-2010	春季学期	81.257142	57
82	学科基础	4	83	教授	农业与农村发展学院	2009-2010	春季学期	79.333333	56
83	学科基础	15	89.13	副教授	农业与农村发展学院	2009-2010	春季学期	79.333333	57
84	专业必修	30	85.67	教授	劳动人事学院	2009-2010	春季学期	87.204081	58
85	专业必修	11	94.82	教授	法学院	2009-2010	春季学期	60.5	59
86	专业选修	92	92.51	副教授	法学院	2009-2010	春季学期	86.688073	60
87	专业选修	32	92.63	副教授	经济学院	2009-2010	春季学期	83.32653	61
88	专业选修	13	92.15	讲师	商学院	2009-2010	春季学期	69.857142	32
89	专业选修	38	93.08	副教授	财政金融学院	2009-2010	春季学期	86.466666	13
90	专业选修	24	89.38	讲师	哲学院	2009-2010	春季学期	85.805555	62
91	学科基础	71	90.82	教授	信息学院	2009-2010	春季学期	68.95	63
92	学科基础	43	91.86	讲师	信息学院	2009-2010	春季学期	81.730769	64
93	学科基础	32	92.97	讲师	信息学院	2009-2010	春季学期	81.757142	65
94	学科基础	30	94.33	讲师	信息学院	2009-2010	春季学期	85.703703	64
95	专业必修	6	93.67	教授	商学院	2009-2010	春季学期	81.333333	66
96	专业必修	8	91.63	教授	商学院	2009-2010	春季学期	81.333333	67
97	专业必修	10	90.9	副教授	社会与人口学院	2009-2010	春季学期	86.142857	68
98	学科基础	31	86.97	教授	公共管理学院	2009-2010	春季学期	84.066666	69
99	专业选修	36	91.25	教授	信息资源管理学院	2009-2010	春季学期	86.607142	70
100	专业必修	43	88.98	副教授	财政金融学院	2009-2010	春季学期	75.034482	71
101	专业必修	68	93.68	副教授	财政金融学院	2009-2010	春季学期	81.36923	72
102	专业必修	24	93.96	副教授	财政金融学院	2009-2010	春季学期	82.935483	72
103	专业必修	18	91.33	副教授	财政金融学院	2009-2010	春季学期	84.689655	73
104	学科基础	35	92.71	副教授	农业与农村发展学院	2009-2010	春季学期	80.333333	74
105	学科基础	12	91.5	副教授	农业与农村发展学院	2009-2010	春季学期	79.125	74
